Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","076","Brazil","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","3237","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","3275","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","3281","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","3252","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3299","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","243313566.68","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","246327525.36","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","251225834.65","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","253660016.2","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","253082231.58","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","258089148.47","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","2645","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","2618","E","Estimated value"
